Gene	Full Name	Cancer Type(s)	Literature Support
SGK1	serum/glucocorticoid regulated kinase 1	Lymph	level A
MEF2B	myocyte enhancer factor 2B	Lymph	level B
UBXN11	UBX domain protein 11	Lymph	level D
HJURP	Holliday junction recognition protein	Thym	level C
NCOA6	nuclear receptor coactivator 6	Brain	level C
KMT2A	lysine methyltransferase 2A	Bladder;Thyr	level A
FGFRL1	fibroblast growth factor receptor like 1	Bladder	level B
FAM104B	family with sequence similarity 104 member B	Testis	level D
KCNT2	potassium sodium-activated channel subfamily T member 2	GaEso	level C
ZMYM3	zinc finger MYM-type containing 3	Prost	level A
SOX17	SRY-box 17	Endo	level B
ZNF14	zinc finger protein 14	Colo	level D
FRMD4A	FERM domain containing 4A	GaEso	level C
CTNND1	catenin delta 1	GaEso	level A
RBBP6	"RB binding protein 6, ubiquitin ligase"	Endo	level C
MED12	mediator complex subunit 12	Blood;Brain	level A
DOT1L	DOT1 like histone lysine methyltransferase	LuAD	level B
RAD21	RAD21 cohesin complex component	Blood	level A
HLA-DRB1	"major histocompatibility complex, class II, DR beta 1"	Lymph	level B
PAX5	paired box 5	Lymph	level A
PRSS48	serine protease 48	Prost	level D
CCDC91	coiled-coil domain containing 91	Brain	level D
MTOR	mechanistic target of rapamycin kinase	KiCl	level A
ZNF814	zinc finger protein 814	Lymph	level D
ERICH6B	glutamate rich 6B	Panc	level D
NUP210L	nucleoporin 210 like	Brain	level D
USP9X	ubiquitin specific peptidase 9 X-linked	AdCyst;Pheo	level C
UBE2A	ubiquitin conjugating enzyme E2 A	Lymph	level C
WNK1	WNK lysine deficient protein kinase 1	Lymph	level C
TNFAIP3	TNF alpha induced protein 3	Lymph	level A
C3orf70	chromosome 3 open reading frame 70	Bladder;Cervix	level D
ZNF234	zinc finger protein 234	Sarc	level D
TENT5D	terminal nucleotidyltransferase 5D	GaEso	level D
TP53BP1	tumor protein p53 binding protein 1	GaEso	level B
AKAP2	A-kinase anchoring protein 2	KiCl	level C
SSC5D	scavenger receptor cysteine rich family member with 5 domains	Skin	level D
VCX	variable charge X-linked	Liver	level B
HNF1A	HNF1 homeobox A	Liver	level A
ZNF750	zinc finger protein 750	Cervix;GaEso;Head	level B
MB21D2	Mab-21 domain containing 2	Breast;Head	level A
FAT3	FAT atypical cadherin 3	Ovar	level A
ARID1B	AT-rich interaction domain 1B	GaEso;Thyr	level A
ERRFI1	ERBB receptor feedback inhibitor 1	Liver	level B
DTX1	deltex E3 ubiquitin ligase 1	Blood	level B
HRNR	hornerin	LuAD	level C
STAT3	signal transducer and activator of transcription 3	Lymph	level A
TRAK1	trafficking kinesin protein 1	Liver	level C
BAZ2A	bromodomain adjacent to zinc finger domain 2A	Blood	level B
CTNND2	catenin delta 2	Brain	level A
POLQ	DNA polymerase theta	Skin	level A
ZFX	zinc finger protein X-linked	Skin	level B
C10orf113	chromosome 10 open reading frame 113	Panc	level D
AIM2	absent in melanoma 2	Panc	level B
NUDCD2	NudC domain containing 2	Panc	level D
DDX3X	DEAD-box helicase 3 X-linked	Blood;Skin	level A
PCCA	propionyl-CoA carboxylase subunit alpha	GaEso	level B
RASA1	RAS p21 protein activator 1	Endo;GaEso;Head	level B
RGS7	regulator of G protein signaling 7	Skin	level A
TTK	TTK protein kinase	GaEso	level B
KIF26B	kinesin family member 26B	Brain	level C
AKR1D1	aldo-keto reductase family 1 member D1	Brain	level D
SETDB1	SET domain bifurcated 1	Pleura	level B
CDK4	cyclin dependent kinase 4	Skin	level A
ZKSCAN4	zinc finger with KRAB and SCAN domains 4	Brain	level D
DHX30	DExH-box helicase 30	Bladder	level D
AKAP9	A-kinase anchoring protein 9	Endo	level A
NPFFR2	neuropeptide FF receptor 2	Head	level B
FAM86B2	family with sequence similarity 86 member B2	Ovar	level D
RRP36	ribosomal RNA processing 36	Skin	level D
JMJD1C	jumonji domain containing 1C	Thyr	level C
EYS	eyes shut homolog (Drosophila)	Brain	level D
FGFR4	fibroblast growth factor receptor 4	Brain	level A
RIMS1	regulating synaptic membrane exocytosis 1	Colo	level D
SPATA31E1	SPATA31 subfamily E member 1	Blood	level D
MAGI2	"membrane associated guanylate kinase, WW and PDZ domain containing 2"	GaEso	level C
TBC1D5	TBC1 domain family member 5	Brain	level C
DMWD	"DM1 locus, WD repeat containing"	Brain	level D
AKR1C3	aldo-keto reductase family 1 member C3	Breast	level B
PPM1F	"protein phosphatase, Mg2+/Mn2+ dependent 1F"	Pleura	level C
NFKBIA	NFKB inhibitor alpha	Lymph	level B
BAX	"BCL2 associated X, apoptosis regulator"	Breast	level A
FRG1	FSHD region gene 1	KiNCl	level C
MYB	"MYB proto-oncogene, transcription factor"	AdCyst;Breast	level A
KANK3	KN motif and ankyrin repeat domains 3	KiCl	level B
IRF4	interferon regulatory factor 4	Blood;Lymph	level A
CHORDC1	cysteine and histidine rich domain containing 1	Brain	level C
ZBTB7A	zinc finger and BTB domain containing 7A	Lymph	level C
SPHKAP	"SPHK1 interactor, AKAP domain containing"	Brain	level D
PRDM2	PR/SET domain 2	Colo	level A
SCN9A	sodium voltage-gated channel alpha subunit 9	Brain;Sarc	level D
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	Brain	level C
MSH6	mutS homolog 6	Endo;Skin	level A
CCNQ	cyclin Q	Skin	level D
ZC3H12A	zinc finger CCCH-type containing 12A	Lymph	level B
NUP153	nucleoporin 153	Liver	level B
PRSS50	serine protease 50	Brain	level D
RNF152	ring finger protein 152	Skin	level C
PSKH2	protein serine kinase H2	Brain	level D
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	Blood	level A
PCDH9	protocadherin 9	Colo	level C
BCL11B	B cell CLL/lymphoma 11B	Brain	level A
ARID5B	AT-rich interaction domain 5B	Endo	level B
SEMA4D	semaphorin 4D	Brain	level B
DIS3	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease"	Blood	level B
IGHMBP2	immunoglobulin mu binding protein 2	Brain	level D
HIST1H1C	histone cluster 1 H1 family member c	Lymph	level C
RPL21	ribosomal protein L21	Brain	level C
TPTE	transmembrane phosphatase with tensin homology	Bladder;Head;LuSC	level B
RHOB	ras homolog family member B	Bladder	level B
TEX13A	testis expressed 13A	Head	level D
CUX1	cut like homeobox 1	Endo	level A
HEPH	hephaestin	Brain	level C
NCOR2	nuclear receptor corepressor 2	Prost	level A
HOXC12	homeobox C12	Brain	level D
IRF8	interferon regulatory factor 8	Lymph	level B
KLF3	Kruppel like factor 3	GaEso	level B
ARL16	ADP ribosylation factor like GTPase 16	Skin	level D
MAP2K7	mitogen-activated protein kinase kinase 7	GaEso	level B
PCNT	pericentrin	Skin	level C
ANAPC1	anaphase promoting complex subunit 1	GaEso	level C
INMT	indolethylamine N-methyltransferase	Skin	level C
ZIC4	Zic family member 4	Lymph	level C
LILRB4	leukocyte immunoglobulin like receptor B4	KiCl	level C
DLGAP2	DLG associated protein 2	Lymph	level D
RAD54B	RAD54 homolog B	Brain	level B
RARS2	"arginyl-tRNA synthetase 2, mitochondrial"	Breast	level D
PRB4	proline rich protein BstNI subfamily 4	Panc	level C
FAM8A1	family with sequence similarity 8 member A1	Testis	level D
FAT4	FAT atypical cadherin 4	Lymph	level A
CDH11	cadherin 11	GaEso	level A
RECQL4	RecQ like helicase 4	Panc	level A
MARK2	microtubule affinity regulating kinase 2	Panc	level C
PCDHA3	null	Colo	level D
TEAD3	TEA domain transcription factor 3	Brain	level D
MDN1	midasin AAA ATPase 1	KiNCl	level C
ARHGAP5	Rho GTPase activating protein 5	Breast	level A
THSD7B	thrombospondin type 1 domain containing 7B	Liver	level D
PJA2	praja ring finger ubiquitin ligase 2	Brain	level B
BOD1L1	biorientation of chromosomes in cell division 1 like 1	Brain	level D
SHROOM3	shroom family member 3	Thyr	level D
CCDC73	coiled-coil domain containing 73	Endo	level D
YLPM1	YLP motif containing 1	KiNCl	level D
PRDM1	PR/SET domain 1	Lymph	level A
SF3B2	splicing factor 3b subunit 2	GaEso	level B
ZC3H4	zinc finger CCCH-type containing 4	GaEso	level D
CYLD	CYLD lysine 63 deubiquitinase	Thym	level A
STAT6	signal transducer and activator of transcription 6	Lymph	level A
RELN	reelin	Lymph	level B
ZNF208	zinc finger protein 208	Bladder;Thym	level D
ZNF107	zinc finger protein 107	Brain	level D
NOTCH2	notch 2	Breast;Head;Lymph	level A
SELPLG	selectin P ligand	Liver	level B
PKHD1L1	PKHD1 like 1	Liver	level D
BDP1	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	Thyr	level C
FRAS1	Fraser extracellular matrix complex subunit 1	Cervix;Liver	level C
FOXQ1	forkhead box Q1	Bladder	level B
CACNA1B	calcium voltage-gated channel subunit alpha1 B	Panc	level C
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	Thyr	level A
ABCA12	ATP binding cassette subfamily A member 12	Panc	level B
ATP11A	ATPase phospholipid transporting 11A	KiNCl	level C
CDH9	cadherin 9	Blood	level C
SMAD3	SMAD family member 3	Panc	level A
MCF2	MCF.2 cell line derived transforming sequence	Colo	level C
PDE3A	phosphodiesterase 3A	Lymph	level C
AHNAK	AHNAK nucleoprotein	Sarc	level C
BIRC6	baculoviral IAP repeat containing 6	KiNCl	level A
CCDC66	coiled-coil domain containing 66	GaEso;Panc	level C
FLT3LG	fms related tyrosine kinase 3 ligand	Breast	level C
RRAS2	RAS related 2	Endo	level B
ROCK2	Rho associated coiled-coil containing protein kinase 2	Endo	level C
SMTNL2	smoothelin like 2	Endo	level D
PTPN14	"protein tyrosine phosphatase, non-receptor type 14"	Pleura	level C
ATF7IP	activating transcription factor 7 interacting protein	Endo;LuAD	level C
PLXNA2	plexin A2	KiNCl	level C
SPTAN1	"spectrin alpha, non-erythrocytic 1"	Bladder	level B
NFKBIE	NFKB inhibitor epsilon	Lymph	level A
PHRF1	PHD and ring finger domains 1	Pleura	level C
KNTC1	kinetochore associated 1	AdCyst	level C
ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1	KiNCl	level D
ETV6	ETS variant 6	Blood;Lymph	level A
ESRP1	epithelial splicing regulatory protein 1	Endo	level C
ASXL3	ASXL transcriptional regulator 3	Lymph	level B
PRKD2	protein kinase D2	AdCyst	level C
DICER1	"dicer 1, ribonuclease III"	Endo	level A
PLCB1	phospholipase C beta 1	Lymph	level C
TBL1XR1	transducin beta like 1 X-linked receptor 1	Breast	level A
LRRTM4	leucine rich repeat transmembrane neuronal 4	Lymph	level D
NLRP5	NLR family pyrin domain containing 5	Lymph	level D
DAZAP1	DAZ associated protein 1	Lymph	level B
BTG1	BTG anti-proliferation factor 1	Lymph	level A
RPL5	ribosomal protein L5	LuAD	level A
TCF7L1	transcription factor 7 like 1	Thyr	level C
EIF1AX	eukaryotic translation initiation factor 1A X-linked	Thyr	level A
LTBP3	latent transforming growth factor beta binding protein 3	Sarc	level C
SON	SON DNA binding protein	Ovar	level C
NLRC5	NLR family CARD domain containing 5	Cervix	level B
GPRIN2	G protein regulated inducer of neurite outgrowth 2	Breast	level C
EPS8	epidermal growth factor receptor pathway substrate 8	Endo	level C
SLIT1	slit guidance ligand 1	Pleura	level C
EVI5L	ecotropic viral integration site 5 like	Thym	level D
ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	KiCl	level C
TMPRSS7	transmembrane serine protease 7	Pleura	level D
DBR1	debranching RNA lariats 1	Head	level C
CDK5RAP2	CDK5 regulatory subunit associated protein 2	Endo	level C
ZFHX4	zinc finger homeobox 4	Lymph	level C
PFN1	profilin 1	Lymph	level C
DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	Liver	level B
TCF7L2	transcription factor 7 like 2	Colo	level A
RBM43	RNA binding motif protein 43	GaEso	level C
PREX2	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"	Lymph	level A
L3MBTL3	"L3MBTL3, histone methyl-lysine binding protein"	Thym	level C
CASZ1	castor zinc finger 1	Prost	level B
EOMES	eomesodermin	Sarc	level D
CR1	complement C3b/C4b receptor 1 (Knops blood group)	GaEso	level C
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	Pleura	level A
LILRB1	leukocyte immunoglobulin like receptor B1	Head	level C
ATP6V1B1	ATPase H+ transporting V1 subunit B1	GaEso	level D
SMARCB1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	Lymph	level A
FAM135B	family with sequence similarity 135 member B	Blood;Head	level A
ITGA8	integrin subunit alpha 8	Head	level C
A1CF	APOBEC1 complementation factor	Skin	level A
NSD2	nuclear receptor binding SET domain protein 2	Head	level A
ODF2L	outer dense fiber of sperm tails 2 like	Colo	level D
ADGRV1	adhesion G protein-coupled receptor V1	Cervix;Sarc	level D
STAG3L2	null	KiCl	level D
RECQL5	RecQ like helicase 5	LuSC	level B
USH2A	usherin	Head	level D
FAT2	FAT atypical cadherin 2	Cervix	level C
ICE1	interactor of little elongation complex ELL subunit 1	Blood	level C
LAMA2	laminin subunit alpha 2	Endo	level C
PHF6	PHD finger protein 6	Blood	level A
ZC3H18	zinc finger CCCH-type containing 18	Blood	level D
PTPRC	"protein tyrosine phosphatase, receptor type C"	Cervix	level A
PREX1	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"	Cervix	level C
UBR5	ubiquitin protein ligase E3 component n-recognin 5	Lymph	level A
EBF1	early B cell factor 1	Lymph	level A
EIF5B	eukaryotic translation initiation factor 5B	GaEso	level B
ZNF608	zinc finger protein 608	Lymph	level B
RBMX	RNA binding motif protein X-linked	Endo;Panc	level C
