Gene Symbol	Name	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome
BRAF	v-raf murine sarcoma viral oncogene homolog B1	yes		"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric"		
BRCA1	familial breast/ovarian cancer gene 1	yes	yes	ovarian	"breast, ovarian"	hereditary breast/ovarian cancer
BRCA2	familial breast/ovarian cancer gene 2	yes	yes	"breast, ovarian, pancreatic"	"breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)"	hereditary breast/ovarian cancer
BRD3	bromodomain containing 3	yes		lethal midline carcinoma of young people		
BRD4	bromodomain containing 4	yes		lethal midline carcinoma of young people		
BRIP1	BRCA1 interacting protein C-terminal helicase 1		yes		"AML, leukaemia, breast"	"Fanconi anaemia J, breast cancer susceptiblity"
BTG1	"B-cell translocation gene 1, anti-proliferative"	yes		B-CLL		
BTK	Bruton agammaglobulinemia tyrosine kinase	yes		"CLL, mantle cell lymphoma, WM"		
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)		yes		rhabdomyosarcoma	mosaic variegated aneuploidy
C15orf65	chromosome 15 open reading frame 65	yes		"PMBL, Hodgkin lymphoma"		
CACNA1D	"calcium channel, voltage-dependent, L type, alpha 1D subunit"	yes		adrenal aldosterone producing adenoma		
CALR	calreticulin	yes		"MPN, MDS"		
CAMTA1	calmodulin binding transcription activator 1	yes		epithelioid haemangioendothelioma		
CANT1	calcium activated nucleotidase 1	yes		prostate		
CARD11	"caspase recruitment domain family, member 11"	yes		DLBCL		
CARS	cysteinyl-tRNA synthetase	yes		ALCL		
CASP3	caspase 3	yes		ovarian cancer		
CASP8	"caspase 8, apoptosis-related cysteine peptidase"	yes		"hepatocellular, oral squamous cell, breast"		
CASP9	caspase 9	yes		glioma		
CBFA2T3	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)"	yes		AML		
CBFB	"core-binding factor, beta subunit"	yes		AML		
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	yes		"AML, JMML, MDS"		
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	yes		AML		
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	yes		AML		
CCDC6	coiled-coil domain containing 6	yes		"papillary thyroid, CML, NSCLC"		
CCNB1IP1	"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase"	yes		leiomyoma		
CCNC	cyclin C	yes		T-ALL		
CCND1	cyclin D1	yes		"CLL, B-ALL, breast"		
CCND2	cyclin D2	yes		"NHL,CLL"		
CCND3	cyclin D3	yes		MM		
CCNE1	cyclin E1	yes		serous ovarian		
CCR4	C-C motif chemokine receptor 4	yes		adult T-cell leukaemia/lymphoma		
CCR7	C-C motif chemokine receptor 7	yes		adult T-cell leukaemia/lymphoma		
CD209	CD209 molecule	yes		prostate carcinoma		
CD274	CD274 molecule	yes		"PMBL, Hodgkin lymphoma"		
CD28	CD28 molecule	yes		T-cell lymphoma		
CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain"	yes		NSCLC		
CD79A	"CD79a molecule, immunoglobulin-associated alpha"	yes		"DLBCL, WM"		
CD79B	"CD79b molecule, immunoglobulin-associated beta"	yes		"DLBCL, WM"		
CDC73	cell division cycle 73	yes	yes	parathyroid adenoma	"parathyroid adenoma, multiple ossifying jaw fibroma"	hyperparathyroidism-jaw tumour syndrome
CDH1	"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)"	yes	yes	"lobular breast, gastric"	gastric	familial gastric carcinoma
CDH10	cadherin 10	yes	yes	melanoma	pancreatic ductal adenocarcinoma	
CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"	yes		aneurysmal bone cyst		
CDH17	cadherin 17	yes		melanoma		
CDK12	cyclin-dependent kinase 12	yes		serous ovarian		
CDK4	cyclin-dependent kinase 4		yes		melanoma	familial malignant melanoma
CDK6	cyclin-dependent kinase 6	yes		ALL		
CDKN1A	cyclin dependent kinase inhibitor 1A	yes		bladder cancer		
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	yes	yes	"breast, small intestine neuroendocrine tumours"	"pituitary, parathyroid"	multiple endocrine neoplasia type IV
CDKN2A	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	yes	yes	"melanoma, multiple other tumour types"	"melanoma, pancreatic"	familial malignant melanoma
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	yes		"glioma, MM"		
CDX2	caudal type homeo box transcription factor 2	yes		AML		
CEBPA	"CCAAT/enhancer binding protein (C/EBP), alpha"	yes		"AML, MDS"		
CEP89	centrosomal protein 89kDa	yes		Spitzoid tumour		
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	yes		salivary adenoma		
CHD2	chromodomain helicase DNA binding protein 2	yes		"melanoma, large intestine, CLL, monoclonal B lymphocytosis"		
CHD4	chromodomain helicase DNA binding protein 4	yes		uterine serous carcinoma		
CHEK2	CHK2 checkpoint homolog (S. pombe)		yes		breast	familial breast cancer
CHIC2	cysteine-rich hydrophobic domain 2	yes		AML		
CHST11	carbohydrate sulfotransferase 11	yes		B-CLL		
CIC	capicua homolog	yes		"oligodendroglioma, soft tissue sarcoma"		
CIITA	"class II, major histocompatibility complex, transactivator"	yes		"PMBL, Hodgkin lymphoma"		
CLIP1	CAP-GLY domain containing linker protein 1	yes		Spitzoid tumour		
CLP1	cleavage and polyadenylation factor I subunit 1	yes		AML		
CLTC	"clathrin, heavy polypeptide (Hc)"	yes		"ALCL, renal"		
CLTCL1	"clathrin, heavy polypeptide-like 1"	yes		ALCL		
CNBD1	cyclic nucleotide binding domain containing 1	yes		"gastric cancer, colon cancer"		
CNBP	"CCHC-type zinc finger, nucleic acid binding protein"	yes		aneurysmal bone cyst		
CNOT3	CCR4-NOT transcription complex subunit 3	yes		T-ALL		
CNTNAP2	contactin associated protein like 2	yes		"glioma, melanoma"		
CNTRL	centriolin	yes		"MPN, NHL"		
COL1A1	"collagen, type I, alpha 1"	yes		"DFSP, aneurysmal bone cyst"		
COL2A1	"collagen, type II, alpha 1"	yes		"chondrosarcoma, enchondroma"		
COL3A1	collagen type III alpha 1 chain	yes		lipoblastoma		
COX6C	cytochrome c oxidase subunit VIc	yes		uterine leiomyoma		
CPEB3	cytoplasmic polyadenylation element binding protein 3	yes		lung cancer		
CREB1	cAMP responsive element binding protein 1	yes		"clear cell sarcoma, angiomatoid fibrous histiocytoma"		
CREB3L1	cAMP responsive element binding protein 3-like 1	yes		myxofibrosarcoma		
CREB3L2	cAMP responsive element binding protein 3-like 2	yes		fibromyxoid sarcoma		
CREBBP	CREB binding protein (CBP)	yes		"ALL, AML, DLBCL, B-NHL"		
CRLF2	cytokine receptor-like factor 2	yes		"B-ALL, Downs associated ALL"		
CRNKL1	crooked neck pre-mRNA splicing factor 1	yes		base cell carcinoma		
CRTC1	CREB regulated transcription coactivator 1	yes		salivary gland mucoepidermoid		
CRTC3	CREB regulated transcription coactivator 3	yes		salivary gland mucoepidermoid		
CSF1R	colony stimulating factor 1 receptor	yes		"MDS, CML, AML, hemangioblastoma, CCRCC"		
CSF3R	colony stimulating factor 3 receptor (granulocyte)	yes		"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS"		
CSMD3	CUB and Sushi multiple domains 3	yes		"ovarian cancer, oral SCC, lung cancer"		
CTCF	CCCTC-binding factor	yes		"endometrial, breast, head and neck cancer"		
CTNNA2	catenin alpha 2	yes		gastric cancer		
CTNNB1	"catenin (cadherin-associated protein), beta 1"	yes		"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types"		
CTNND1	catenin delta 1	yes		large intestine carcinoma		
CTNND2	catenin delta 2	yes		"prostae adenocarcinoma, GIST"		
CUL3	cullin 3	yes		lung cancer		
CUX1	cut-like homeobox 1	yes		"endometrial, melanoma, colorectal, AML, MDS, other tumour types"		
CXCR4	C-X-C motif chemokine receptor 4	yes	yes	WM		
CYLD	familial cylindromatosis gene	yes	yes	cylindroma	cylindroma	"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome"
CYP2C8	cytochrome P450 family 2 subfamily C member 8	yes		melanoma		
CYSLTR2	cysteinyl leukotriene receptor 2	yes		uveal melanoma		
DAXX	death-domain associated protein	yes		"pancreatic neuroendocrine tumour, paediatric glioblastoma"		
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	yes		CRC		
DCC	DCC netrin 1 receptor	yes		"CRC, melanoma, SCC"		
DCTN1	dynactin 1	yes		"inflammatory myofibroblastic tumour, Spitzoid tumour"		
DDB2	damage-specific DNA binding protein 2		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (E)
DDIT3	DNA-damage-inducible transcript 3	yes		liposarcoma		
DDR2	discoidin domain receptor 2	yes		"squamous cell carcinoma, NSCLC"		
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	yes		AML*		
DDX3X	"DEAD-box helicase 3, X-linked"	yes		"CLL, medulloblastoma"		
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	yes		prostate		
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	yes		B-NHL		
DEK	DEK oncogene (DNA binding)	yes		AML		
DGCR8	"DGCR8, microprocessor complex subunit"	yes		Wilms tumour		
DICER1	"dicer 1, ribonuclease type III"	yes	yes	"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types"	pleuropulmonary blastoma	familial pleuropulmonary blastoma or DICER1 syndrome
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	yes		fibrolamellar hepatocellular carcinoma		
DNM2	dynamin 2	yes		T-ALL		
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	yes		AML		
DROSHA	drosha ribonuclease III	yes		"Wilms tumour, NSCLC, bladder carcinoma"		
DUX4L1	double homeobox 4 like 1	yes		soft tissue sarcoma		
EBF1	early B-cell factor 1	yes		lipoma		
ECT2L	epithelial cell transforming sequence 2 oncogene-like	yes		ETP ALL		
EED	embryonic ectoderm development	yes		"malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma"		
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	yes	yes	"glioma, NSCLC"	NSCLC	familial lung cancer
EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"	yes		"uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer"		
EIF3E	"eukaryotic translation initiation factor 3, subunit E"	yes		colorectal		
EIF4A2	"eukaryotic translation initiation factor 4A, isoform 2"	yes		NHL		
ELF3	E74 like ETS transcription factor 3	yes		pancreatic cancer		
ELF4	E74-like factor 4 (ets domain transcription factor)	yes		AML		
ELK4	"ELK4, ETS-domain protein (SRF accessory protein 1)"	yes		prostate		
ELL	ELL gene (11-19 lysine-rich leukemia gene)	yes		AL		
ELN	elastin	yes		B-ALL		
EML4	echinoderm microtubule associated protein like 4	yes		NSCLC		
EP300	300 kd E1A-Binding protein gene	yes		"colorectal, breast, pancreatic, AML, ALL, DLBCL"		
EPAS1	endothelial PAS domain protein 1	yes		"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas"		
EPHA3	EPH receptor A3	yes		"lung cancer, CRC, melanoma"		
EPHA7	EPH receptor A7	yes		"CRC, melanoma"		
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	yes		ALL		
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	yes		"breast, ovarian, other tumour types, NSCLC, gastric"		
ERBB3	erb-b2 receptor tyrosine kinase 3	yes		"colon, gastric, head and neck, bladder, skin"		
ERBB4	erb-b2 receptor tyrosine kinase 4	yes	yes	"melanoma, gastric, NSCLC"		
ERC1	ELKS/RAB6-interacting/CAST family member 1	yes		"papillary thyroid, Spitzoid tumour"		
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (D)
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (B)
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (F)
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (G)
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	yes		"Ewing sarcoma, prostate, AML"		
ESR1	estrogen receptor 1	yes		breast		
ETNK1	ethanolamine kinase 1	yes		"aCML, CMML, SM-AHD, HES"		
ETV1	ets variant gene 1	yes		"Ewing sarcoma, prostate"		
ETV4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"	yes		"Ewing sarcoma, prostate carcinoma"		
ETV5	ets variant gene 5	yes		prostate		
ETV6	ets variant gene 6 (TEL oncogene)	yes		"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS"		
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	yes		"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma"		
EXT1	multiple exostoses type 1 gene		yes		"exostoses, osteosarcoma"	multiple exostoses type 1
EXT2	multiple exostoses type 2 gene		yes		"exostoses, osteosarcoma"	multiple exostoses type 2
EZH2	enhancer of zeste homolog 2	yes		DLBCL		
EZR	ezrin	yes		NSCLC		
FAM131B	"family with sequence similarity 131, member B"	yes		pilocytic astrocytoma		
FAM135B	family with sequence similarity 135 member B	yes		SCLC		
FAM47C	family with sequence similarity 47 member C	yes		"melanoma, clear cell sarcoma of soft parts, SCLC"		
FANCA	"Fanconi anemia, complementation group A"		yes		"AML, leukaemia"	Fanconi anaemia A
FANCC	"Fanconi anemia, complementation group C"		yes		"AML, leukaemia"	Fanconi anaemia C
FANCD2	"Fanconi anemia, complementation group D2"		yes		"AML, leukaemia"	Fanconi anaemia D2
FANCE	"Fanconi anemia, complementation group E"		yes		"AML, leukaemia"	Fanconi anaemia E
FANCF	"Fanconi anemia, complementation group F"		yes		"AML, leukaemia"	Fanconi anaemia F
FANCG	"Fanconi anemia, complementation group G"		yes		"AML, leukaemia"	Fanconi anaemia G
FAS	Fas cell surface death receptor	yes		"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related"		
FAT1	FAT atypical cadherin 1	yes	yes	"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma"	pancreatic	
FAT3	FAT atypical cadherin 3	yes		"SCC, colon adenocarcinoma, gastric adenocarcinoma"		
FAT4	FAT atypical cadherin 4	yes		"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma"		
FBLN2	fibulin 2	yes		"breast cancer, colorectal adenocarcinoma"		
FBXO11	F-box protein 11	yes		DLBCL		
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)"	yes		"colorectal, endometrial, T-ALL"		
FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	yes		ALL		
FCRL4	Fc receptor-like 4	yes		B-NHL		
FEN1	flap structure-specific endonuclease 1		yes		breast cancer	
FES	"FES proto-oncogene, tyrosine kinase"	yes		"HNSCC, ovarian carcinoma"		
FEV	FEV protein - (HSRNAFEV)	yes		Ewing sarcoma		
FGFR1	fibroblast growth factor receptor 1	yes		"MPN, NHL, salivary adenoma"		
FGFR1OP	FGFR1 oncogene partner (FOP)	yes		"MPN, NHL"		
FGFR2	fibroblast growth factor receptor 2	yes		"gastric, NSCLC, endometrial"		
FGFR3	fibroblast growth factor receptor 3	yes		"bladder, MM, T-cell lymphoma"		
FGFR4	fibroblast growth factor receptor 4	yes		rhabdomyosarcoma		
FH	fumarate hydratase		yes		"leiomyomatosis, renal"	hereditary leiomyomatosis and renal cell cancer
FHIT	fragile histidine triad gene	yes		pleomorphic salivary gland adenoma		
FIP1L1	FIP1 like 1 (S. cerevisiae)	yes		idiopathic hypereosinophilic syndrome		
FKBP9	FK506 binding protein 9	yes		glioma		
FLCN	folliculin		yes		"renal, fibrofolliculomas, trichodiscomas"	Birt-Hogg-Dube syndrome
FLI1	Friend leukemia virus integration 1	yes		Ewing sarcoma		
FLNA	filamin A	yes		phyllodes tumour of the breast		
FLT3	fms-related tyrosine kinase 3	yes		"AML, ALL"		
FLT4	fms-related tyrosine kinase 4	yes		soft tissue sarcoma		
FNBP1	formin binding protein 1 (FBP17)	yes		AML		
FOXA1	forkhead box A1	yes		"breast, prostate"		
FOXL2	forkhead box L2	yes		granulosa-cell tumour of the ovary		
FOXO1	forkhead box O1	yes		alveolar rhabdomyosarcoma		
FOXO3	forkhead box O3	yes		AL		
FOXO4	forkhead box O4	yes		"AL, soft tissue sarcoma"		
FOXP1	forkhead box P1	yes		ALL		
FOXR1	forkhead box R1	yes		neuroblastoma		
FSTL3	follistatin-like 3 (secreted glycoprotein)	yes		B-CLL		
FUBP1	far upstream element (FUSE) binding protein 1	yes		oligodendroglioma		
FUS	"fusion, derived from t(12;16) malignant liposarcoma"	yes		"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma"		
GAS7	growth arrest-specific 7	yes		AML*		
GATA1	GATA binding protein 1 (globin transcription factor 1)	yes		megakaryoblastic leukaemia of Downs syndrome		
GATA2	GATA binding protein 2	yes		AML (CML blast transformation)		
GATA3	GATA binding protein 3	yes		breast		
GLI1	GLI family zinc finger 1	yes		"CRC, oesophagus cancer"		
GMPS	guanine monphosphate synthetase	yes		AML		
GNA11	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"		
GNAQ	"guanine nucleotide binding protein (G protein), q polypeptide"	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"		
GNAS	"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"	yes		"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia"		
GOLGA5	"golgi autoantigen, golgin subfamily a, 5  (PTC5)"	yes		"papillary thyroid, Spitzoid tumour"		
GOPC	golgi associated PDZ and coiled-coil motif containing	yes		"glioblastoma, cholangiocarcinoma, borderline ovarian"		
GPC3	glypican 3		yes		Wilms tumour	Simpson-Golabi-Behmel syndrome
GPC5	glypican 5	yes		lung adenocarcinoma		
GPHN	gephyrin (GPH)	yes		AL		
GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	yes		"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma"		
GRM3	glutamate metabotropic receptor 3	yes		"melanoma, oral SCC"		
H3F3A	"H3 histone, family 3A"	yes		glioma		
H3F3B	"H3 histone, family 3B (H3.3B)"	yes		chondroblastoma		
HERPUD1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"	yes		prostate		
HEY1	hairy/enhancer-of-split related with YRPW motif 1	yes		mesenchymal chondrosarcoma		
HIF1A	hypoxia inducible factor 1 alpha subunit	yes		"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic"		
HIP1	huntingtin interacting protein 1	yes		"CMML, NSCLC"		
HIST1H3B	"histone cluster 1, H3b"	yes		glioma		
HIST1H4I	"histone 1, H4i (H4FM)"	yes		NHL		
HLA-A	"major histocompatibility complex, class I, A"	yes		Spitzoid tumour		
HLF	hepatic leukemia factor	yes		ALL		
HMGA1	high mobility group AT-hook 1	yes		"microfollicular thyroid adenoma, various benign mesenchymal tumours"		
HMGA2	high mobility group AT-hook 2 (HMGIC)	yes		"lipoma, leiomyoma, pleomorphic salivary gland adenoma"		
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	yes		prostate		
HNF1A	HNF1 homeobox A	yes	yes	"hepatic adenoma, hepatocellular"	"hepatic adenoma, hepatocellular carcinoma"	familial hepatic adenoma
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	yes		prostate		
HOOK3	hook homolog 3	yes		papillary thyroid		
HOXA11	homeo box A11	yes		CML		
HOXA13	homeo box A13	yes		AML		
HOXA9	homeo box A9	yes		AML*		
HOXC11	homeo box C11	yes		AML		
HOXC13	homeo box C13	yes		AML		
HOXD11	homeo box D11	yes		AML		
HOXD13	homeo box D13	yes		AML*		
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	yes	yes	"infrequent sarcomas, rare other tumour types"	"rhabdomyosarcoma, ganglioneuroblastoma, bladder"	Costello syndrome
HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	yes		NHL		
HSP90AB1	"heat shock protein 90kDa alpha (cytosolic), class B member 1"	yes		NHL		
ID3	"inhibitor of DNA binding 3, HLH protein"	yes		Burkitt lymphoma		
